epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.099147335,4.0172408211923845,0.36363637,0.0015863574,0.020833334,4.963075126920428,0.0,0.0
1,0.20126909,3.2970270374902486,0.6532258,0.016061869,0.030505951,5.957283576329549,0.026946107,0.013392857
2,0.26432678,2.927862717806052,0.7607527,0.05611739,0.13913691,4.281158532415118,0.3531915,0.06175595
3,0.3123141,2.689037786833994,0.75,0.093991674,0.22321428,3.6698203881581626,0.3970276,0.13913691
4,0.34443784,2.51199706958065,0.7710706,0.13424549,0.14955357,4.9308566479455855,0.22241993,0.093005955
5,0.37477693,2.369334347399837,0.7815867,0.15823914,0.25,3.2526631639117287,0.4562334,0.1279762
6,0.4055126,2.25285452205984,0.7694974,0.17608567,0.29315478,3.016065080960592,0.54126215,0.16592261
7,0.43168747,2.1281702443292496,0.7885196,0.20701963,0.2559524,3.881444278217497,0.39108062,0.16964285
8,0.44418004,2.0346422884498776,0.7848185,0.23577236,0.2872024,3.2529222397577193,0.4869403,0.19419643
9,0.4765021,1.9291773327470605,0.80783355,0.26174897,0.31473213,3.3863950002761114,0.4724026,0.21651785
10,0.547095,1.6453038323098128,0.8668099,0.3200476,0.4702381,2.1284904877344766,0.73162395,0.3184524
11,0.569304,1.5695104033091747,0.88396627,0.33234185,0.4642857,2.1422485425358726,0.7181664,0.31473213
12,0.578029,1.5309413205341005,0.89685404,0.34483442,0.47247022,2.0817310639790128,0.7544803,0.31324404
13,0.59666866,1.495108608213323,0.8825851,0.35474914,0.44494048,2.169417298975445,0.7166948,0.31622022
14,0.5970652,1.488745943506677,0.8905073,0.35157645,0.4672619,2.0995975619270686,0.72605044,0.32142857
15,0.6018243,1.459090272916491,0.89285713,0.36684513,0.4419643,2.25835763272785,0.7065767,0.31175596
16,0.6125322,1.4168190361369397,0.9051345,0.36704344,0.4828869,2.0239294341632297,0.7344,0.34151787
17,0.62066233,1.4176131024522345,0.8971213,0.37695816,0.48511904,2.0423442721366882,0.73429954,0.3392857
18,0.6198691,1.4077084067320271,0.89957565,0.37834623,0.4828869,2.0342079372633073,0.74551386,0.34002978
19,0.6162998,1.410577223434728,0.9059666,0.37636328,0.48065478,2.023753027121226,0.7491749,0.3377976
20,0.6198691,1.3955497960355956,0.8996212,0.37675986,0.47098213,2.030868413902464,0.7364217,0.34300596
21,0.6254214,1.3986925833664454,0.90171534,0.38568312,0.47693452,2.041405995686849,0.7304625,0.34077382
22,0.62284356,1.4010980144725205,0.897817,0.38330358,0.48214287,2.0405871924899874,0.73510975,0.34895834
23,0.6246282,1.390511257530748,0.906308,0.38746777,0.484375,2.010239791302454,0.75772357,0.34672618
24,0.62224865,1.3853907515173887,0.90607476,0.38449335,0.49255952,2.0167710071518306,0.7399679,0.34300596
25,0.6232401,1.3926911040144783,0.90409684,0.38508824,0.49107143,2.0381301783380055,0.7304625,0.34077382
26,0.6252231,1.3877675136403151,0.9011142,0.38488996,0.4828869,2.022628991376786,0.7448166,0.34747022
27,0.62205034,1.3866198586963743,0.9060028,0.38607973,0.47693452,2.0410040616989136,0.74440897,0.34672618
28,0.62641287,1.3767353519900745,0.9060185,0.38806266,0.48065478,2.0342631226494197,0.728125,0.34672618
29,0.62423164,1.3843252023912105,0.9084572,0.38766608,0.48809522,2.0288492214112055,0.7352472,0.34300596
30,0.6248265,1.3751871923404673,0.90629244,0.39698592,0.47395834,2.0261283488500688,0.7189441,0.34449404
31,0.63315487,1.3719645318307976,0.90656334,0.39440808,0.48139882,2.015721306914375,0.7314376,0.34449404
32,0.6244299,1.3745323453374072,0.9107721,0.3906405,0.48958334,2.023122875463395,0.74437296,0.34449404
33,0.6250248,1.37682969433529,0.89963335,0.38925242,0.47619048,2.042508457388197,0.7269891,0.34672618
34,0.62740433,1.3721918930923231,0.89886105,0.39123538,0.49107143,2.002640278566451,0.7468553,0.3534226
